"name","gender"
"DI CENTA Giorgio","Men"
"PILLER COTTRER Pietro","Men"
"COLOGNA Dario","Men"
"LIVERS Toni","Men"
"TEICHMANN Axel","Men"
"HELLNER Marcus","Men"
"OLSSON Johan","Men"
"SEDOV Petr","Men"
"MORIGGL Thomas","Men"
"BABIKOV Ivan","Men"
"SOMMERFELDT Rene","Men"
"KATTILAKOSKI Teemu","Men"
"CHECCHI Valerio","Men"
"ANGERER Tobias","Men"
"LEGKOV Alexander","Men"
"FISCHER Remo","Men"
"GREY George","Men"
"REICHELT Tom","Men"
"BAJCICAK Martin","Men"
"FREEMAN Kris","Men"
"PERL Curdin","Men"
"SOEDERGREN Anders","Men"
"RICKARDSSON Daniel","Men"
"EILIFSEN Morten","Men"
"HOFER David","Men"
"SHIRIAEV Sergey","Men"
"CLARA Roland","Men"
"POLTARANIN Alexey","Men"
"LIEBSCH Matthew Edward","Men"
"ZORZI Cristian","Men"
"AASEN Geir Ludvig","Men"
"JEWETT Gordon","Men"
"KUZZY Garrott","Men"
"TSINZOV Veselin","Men"
"SOUTHAM James","Men"
"BATORY Ivan","Men"
"KERSHAW Devon","Men"
"NOUSIAINEN Ville","Men"
"HINCKLEY Mike","Men"
"VILARRUBLA Vicente","Men"
"COOK Bryan","Men"
"HOFFMAN Noah","Men"
"RUIZ Diego","Men"
"KREZELOK Janusz","Men"
"DOLIDOVICH Sergei","Men"
"SIM Ben","Men"
"NOVIKOV Sergey","Men"
"NARUSE Nobu","Men"
"VYLEGZHANIN Maxim","Men"
"KNIGHT Brenton","Men"
"NISHIKAWA Graham","Men"
"BUTLER Christopher","Men"
"BACH Ole-marius","Men"
"HEIKKINEN Matti","Men"
"IVANOV Aleksey","Men"
"ZIMMERMANN Leif Orin","Men"
"ELLIOTT Tad","Men"
"CHEREPANOV Sergey","Men"
"MALAK Michal","Men"
"KARNEYENKA Leanid","Men"
"KRECZMER Maciej","Men"
"HARVEY Alex","Men"
"MCKEEVER Brian","Men"
"MCKEEVER Robin","Men"
"CHERNOUSOV Ilia","Men"
"MCMURTRY Brent","Men"
"CHEBOTKO Nikolay","Men"
"GREGG Brian","Men"
"MUSGRAVE Andrew","Men"
"CARLETON Erik","Men"
"RICHMOND Kit","Men"
"WOOD Phillip","Men"
"YOUNG Andrew","Men"
"NOVOSELSKI Aleksei","Men"
"MERRY Curtis","Men"
"ELLIS Jeff","Men"
"POHL Andrew","Men"
"DARLINGTON Chris","Men"
"JOENSSON Emil","Men"
"KOOS Torin","Men"
"GLOEERSEN Anders","Men"
"CLAUSEN Kent-Ove","Men"
"LIND Bjoern","Men"
"KUHN Stefan","Men"
"DAHL John Kristian","Men"
"PASINI Fabio","Men"
"NEWELL Andrew","Men"
"BRANDSDAL Eirik","Men"
"PETERSON Teodor","Men"
"PASINI Renato","Men"
"LECCARDI Valerio","Men"
"FRASNELLI Loris","Men"
"WIDMER Philip","Men"
"CROOKS Sean","Men"
"HAMILTON Simeon","Men"
"PANKRATOV Nikolai","Men"
"COOK Chris","Men"
"WENZL Josef","Men"
"ONDA Yuichi","Men"
"VON ALLMEN Peter","Men"
"STROLIA Mantas","Men"
"KOSCHEVOY Yevgeniy","Men"
"EIGENMANN Christoph","Men"
"DARRAGON Roddy","Men"
"TAMBORNINO Eligius","Men"
"MURRAY Paul","Men"
"FAFALIS Lefteris","Men"
"SEATON Harry","Men"
"SOMPPI Michael","Men"
"MURRAY Ian","Men"
"BURTON Joey","Men"
"ARGUE Mike","Men"
"MOREL Skeets","Men"
"GARNIER Gerard","Men"
"SINNOTT Michael","Men"
"KRAAS Oliver","Men"
"GOLDSACK Drew","Men"
"HANNEMAN Reese","Men"
"MORILOV Nikolay","Men"
"PETUKHOV Alexei","Men"
"KRIUKOV Nikita","Men"
"SAAREPUU Anti","Men"
"TSCHARNKE Tim","Men"
"DEVJATIAROV Mickail Jun.","Men"
"PANZHINSKIY Alexander","Men"
"PARFENOV Andrey","Men"
"CHVANOV Dmitriy","Men"
"SIMONLATSER Timo","Men"
"KINDSCHI Joeri","Men"
"BOLOTOV Nikolay","Men"
"VOLKOV Anatoliy","Men"
"BILOSYUK Ivan","Men"
"KONDROSCHEV Andrey","Men"
"VOLODKO Denis","Men"
"TYUTEREV Andrey","Men"
"GELJMANOV Andrej","Men"
"MORIAKOV Alexey","Men"
"BOBROV Alexander","Men"
"ROTCHEV Vassili","Men"
"TAGSCHERER Zoltan","Men"
"BILOSYUK Myroslav","Men"
"ZHMURKO Artem","Men"
"GLAVATSKIKH Konstantin","Men"
"KUZNETSOV Alexander","Men"
"TURYSHEV Sergey","Men"
"SORIN Egor","Men"
"SLEPOV Alexey","Men"
"BELOV Mikhail","Men"
"BAUER Lukas","Men"
"VEERPALU Andrus","Men"
"MAE Jaak","Men"
"SVARTEDAL Jens Arne","Men"
"ROENNING Eldar","Men"
"HJELMESET Odd-Bjoern","Men"
"JOHANSSON Martin","Men"
"KOKK Kaspar","Men"
"LEHTONEN Lari","Men"
"REHEMAA Aivar","Men"
"KATZ Andreas","Men"
"AUKLAND Anders","Men"
"NOVAK Petr","Men"
"VELICHKO Yevgeniy","Men"
"ERIKSSON Jens","Men"
"XU Wenlong","Men"
"SIMILAE Tero","Men"
"KARP Algo","Men"
"HIRNER Manuel","Men"
"PERRILLAT Christophe","Men"
"DJUPVIK Roger Aa","Men"
"REZAC Stanislav","Men"
"BURGERMEISTER Reto","Men"
"VAIKMAA Madis","Men"
"ROUSSELET Alexandre","Men"
"SOULIE Francois Jacques","Men"
"SIMULA Jussi","Men"
"MAEGI Risto","Men"
"JONSSON Fredrik","Men"
"DIEZIG Thomas","Men"
"TALVES Priit","Men"
"JULLINEN Erko","Men"
"JOHNSSON Jimmi","Men"
"PRIKS Keijo","Men"
"RAJAS Janari","Men"
"KOLLO Andres","Men"
"JUURSALU Timo","Men"
"PAAKKONEN Lasse","Men"
"LARSSON Mats","Men"
"KUMMEL Peeter","Men"
"MODIN Jesper","Men"
"LYKKJA Hans Petter","Men"
"LASSILA Kalle","Men"
"HATTESTAD Ola Vigen","Men"
"EINASTE Kein","Men"
"VAEAENAENEN Jesse","Men"
"STRANDVALL Matias","Men"
"SUN Qinghai","Men"
"COLLIANDER Niklas","Men"
"MIRANDA Cyril","Men"
"BRYNTESSON Robin","Men"
"KJOELSTAD Johan","Men"
"SELLIS Siim","Men"
"TEPPAN Vahur","Men"
"NAESS Boerre","Men"
"PETTERSEN Oeystein","Men"
"GAILLARD Cyril","Men"
"JALLAI Erkki","Men"
"REINMETS Dmitri","Men"
"NORTHUG Petter","Men"
"GULLO Giovanni","Men"
"SCOLA Fulvio","Men"
"FREDRIKSSON Thobias","Men"
"EBNER Thomas","Men"
"FLORA Lars","Men"
"JOHANSSON Patrik","Men"
"RAZYM Ales","Men"
"TOLVANEN Olli-Pekka","Men"
"MLYNAR Peter","Men"
